"Time","State","Probability"
8,"Light",1
8,"Heavy",0
8,"Gridlock",0
8.16901408450704,"Light",0.4
8.16901408450704,"Heavy",0.4
8.16901408450704,"Gridlock",0.2
8.33802816901408,"Light",0.28
8.33802816901408,"Heavy",0.38
8.33802816901408,"Gridlock",0.34
8.50704225352113,"Light",0.226
8.50704225352113,"Heavy",0.336
8.50704225352113,"Gridlock",0.438
8.67605633802817,"Light",0.1912
8.67605633802817,"Heavy",0.3022
8.67605633802817,"Gridlock",0.5066
8.84507042253521,"Light",0.16714
8.84507042253521,"Heavy",0.27824
8.84507042253521,"Gridlock",0.55462
9.01408450704225,"Light",0.150328
9.01408450704225,"Heavy",0.261438
9.01408450704225,"Gridlock",0.588234
9.1830985915493,"Light",0.1385626
9.1830985915493,"Heavy",0.2496736
9.1830985915493,"Gridlock",0.6117638
9.35211267605634,"Light",0.13032712
9.35211267605634,"Heavy",0.24143822
9.35211267605634,"Gridlock",0.62823466
9.52112676056338,"Light",0.124562314
9.52112676056338,"Heavy",0.235673424
9.52112676056338,"Gridlock",0.639764262
9.69014084507042,"Light",0.1205269528
9.69014084507042,"Heavy",0.2316380638
9.69014084507042,"Gridlock",0.6478349834
9.85915492957746,"Light",0.11770220026
9.85915492957746,"Heavy",0.22881331136
9.85915492957746,"Gridlock",0.65348448838
10.0281690140845,"Light",0.115724873512
10.0281690140845,"Heavy",0.226835984622
10.0281690140845,"Gridlock",0.657439141866
10.1971830985915,"Light",0.1143407447914
10.1971830985915,"Heavy",0.2254518559024
10.1971830985915,"Gridlock",0.6602073993062
10.3661971830986,"Light",0.11337185468728
10.3661971830986,"Heavy",0.22448296579838
10.3661971830986,"Gridlock",0.66214517951434
10.5352112676056,"Light",0.112693631614426
10.5352112676056,"Heavy",0.223804742725536
10.5352112676056,"Gridlock",0.663501625660038
10.7042253521127,"Light",0.112218875463431
10.7042253521127,"Heavy",0.223329986574542
10.7042253521127,"Gridlock",0.664451137962027
10.8732394366197,"Light",0.111886546157735
10.8732394366197,"Heavy",0.222997657268846
10.8732394366197,"Gridlock",0.665115796573419
11.0422535211268,"Light",0.111653915643748
11.0422535211268,"Heavy",0.222765026754859
11.0422535211268,"Gridlock",0.665581057601394
11.2112676056338,"Light",0.111491074283957
11.2112676056338,"Heavy",0.222602185395068
11.2112676056338,"Gridlock",0.665906740320976
11.3802816901408,"Light",0.111377085332103
11.3802816901408,"Heavy",0.222488196443214
11.3802816901408,"Gridlock",0.666134718224683
11.5492957746479,"Light",0.111297293065806
11.5492957746479,"Heavy",0.222408404176917
11.5492957746479,"Gridlock",0.666294302757278
11.7183098591549,"Light",0.111241438479397
11.7183098591549,"Heavy",0.222352549590508
11.7183098591549,"Gridlock",0.666406011930095
11.887323943662,"Light",0.111202340268911
11.887323943662,"Heavy",0.222313451380023
11.887323943662,"Gridlock",0.666484208351067
12.056338028169,"Light",0.111174971521571
12.056338028169,"Heavy",0.222286082632683
12.056338028169,"Gridlock",0.666538945845747
12.2253521126761,"Light",0.111155813398433
12.2253521126761,"Heavy",0.222266924509545
12.2253521126761,"Gridlock",0.666577262092023
12.3943661971831,"Light",0.111142402712237
12.3943661971831,"Heavy",0.222253513823348
12.3943661971831,"Gridlock",0.666604083464416
12.5633802816901,"Light",0.111133015231899
12.5633802816901,"Heavy",0.22224412634301
12.5633802816901,"Gridlock",0.666622858425092
12.7323943661972,"Light",0.111126443995663
12.7323943661972,"Heavy",0.222237555106774
12.7323943661972,"Gridlock",0.666636000897564
12.9014084507042,"Light",0.111121844130297
12.9014084507042,"Heavy",0.222232955241408
12.9014084507042,"Gridlock",0.666645200628295
13.0704225352113,"Light",0.111118624224541
13.0704225352113,"Heavy",0.222229735335653
13.0704225352113,"Gridlock",0.666651640439807
13.2394366197183,"Light",0.111116370290512
13.2394366197183,"Heavy",0.222227481401624
13.2394366197183,"Gridlock",0.666656148307865
13.4084507042254,"Light",0.111114792536692
13.4084507042254,"Heavy",0.222225903647803
13.4084507042254,"Gridlock",0.666659303815506
13.5774647887324,"Light",0.111113688109018
13.5774647887324,"Heavy",0.222224799220129
13.5774647887324,"Gridlock",0.666661512670854
13.7464788732394,"Light",0.111112915009646
13.7464788732394,"Heavy",0.222224026120757
13.7464788732394,"Gridlock",0.666663058869598
13.9154929577465,"Light",0.111112373840085
13.9154929577465,"Heavy",0.222223484951197
13.9154929577465,"Gridlock",0.666664141208719
14.0845070422535,"Light",0.111111995021393
14.0845070422535,"Heavy",0.222223106132504
14.0845070422535,"Gridlock",0.666664898846103
14.2535211267606,"Light",0.111111729848309
14.2535211267606,"Heavy",0.22222284095942
14.2535211267606,"Gridlock",0.666665429192273
14.4225352112676,"Light",0.111111544227149
14.4225352112676,"Heavy",0.222222655338261
14.4225352112676,"Gridlock",0.666665800434591
14.5915492957746,"Light",0.111111414292338
14.5915492957746,"Heavy",0.222222525403449
14.5915492957746,"Gridlock",0.666666060304214
14.7605633802817,"Light",0.11111132333797
14.7605633802817,"Heavy",0.222222434449081
14.7605633802817,"Gridlock",0.66666624221295
14.9295774647887,"Light",0.111111259669912
14.9295774647887,"Heavy",0.222222370781024
14.9295774647887,"Gridlock",0.666666369549065
15.0985915492958,"Light",0.111111215102272
15.0985915492958,"Heavy",0.222222326213383
15.0985915492958,"Gridlock",0.666666458684346
15.2676056338028,"Light",0.111111183904924
15.2676056338028,"Heavy",0.222222295016035
15.2676056338028,"Gridlock",0.666666521079042
15.4366197183099,"Light",0.11111116206678
15.4366197183099,"Heavy",0.222222273177891
15.4366197183099,"Gridlock",0.66666656475533
15.6056338028169,"Light",0.111111146780079
15.6056338028169,"Heavy",0.222222257891191
15.6056338028169,"Gridlock",0.666666595328731
15.7746478873239,"Light",0.111111136079389
15.7746478873239,"Heavy",0.2222222471905
15.7746478873239,"Gridlock",0.666666616730112
15.943661971831,"Light",0.111111128588906
15.943661971831,"Heavy",0.222222239700017
15.943661971831,"Gridlock",0.666666631711079
16.112676056338,"Light",0.0333333368288923
16.112676056338,"Heavy",0.188888899375566
16.112676056338,"Gridlock",0.777777763795543
16.2816901408451,"Light",0.0222222236204458
16.2816901408451,"Heavy",0.15111111460667
16.2816901408451,"Gridlock",0.826666661772886
16.4507042253521,"Light",0.0173333338227116
16.4507042253521,"Heavy",0.139111112369513
16.4507042253521,"Gridlock",0.843555553807777
16.6197183098592,"Light",0.0156444446192224
16.6197183098592,"Heavy",0.134755556002987
16.6197183098592,"Gridlock",0.849599999377792
16.7887323943662,"Light",0.015040000062221
16.7887323943662,"Heavy",0.133208889048287
16.7887323943662,"Gridlock",0.851751110889494
16.9577464788732,"Light",0.0148248889110508
16.9577464788732,"Heavy",0.132657777834546
16.9577464788732,"Gridlock",0.852517333254405
17.1267605633803,"Light",0.0147482666745597
17.1267605633803,"Heavy",0.13246151113133
17.1267605633803,"Gridlock",0.852790222194112
17.2957746478873,"Light",0.0147209777805889
17.2957746478873,"Heavy",0.13239160889609
17.2957746478873,"Gridlock",0.852887413323323
17.4647887323944,"Light",0.0147112586676679
17.4647887323944,"Heavy",0.132366712891454
17.4647887323944,"Gridlock",0.85292202844088
17.6338028169014,"Light",0.0147077971559122
17.6338028169014,"Heavy",0.132357846045358
17.6338028169014,"Gridlock",0.852934356798731
17.8028169014084,"Light",0.014706564320127
17.8028169014084,"Heavy",0.132354688071437
17.8028169014084,"Gridlock",0.852938747608438
17.9718309859155,"Light",0.0147061252391564
17.9718309859155,"Heavy",0.132353563342338
17.9718309859155,"Gridlock",0.852940311418507
18.1408450704225,"Light",0.232353162764131
18.1408450704225,"Heavy",0.398529387476085
18.1408450704225,"Gridlock",0.369117449759786
18.3098591549296,"Light",0.37264714260087
18.3098591549296,"Heavy",0.376764683723588
18.3098591549296,"Gridlock",0.250588173675545
18.4788732394366,"Light",0.424411793785066
18.4788732394366,"Heavy",0.362735285739914
18.4788732394366,"Gridlock",0.212852920475022
18.6478873239437,"Light",0.442311774662009
18.6478873239437,"Heavy",0.357558820621494
18.6478873239437,"Gridlock",0.200129404716498
18.8169014084507,"Light",0.448436473989103
18.8169014084507,"Heavy",0.3557688225338
18.8169014084507,"Gridlock",0.195794703477099
18.9859154929577,"Light",0.450528354102401
18.9859154929577,"Heavy",0.35515635260109
18.9859154929577,"Gridlock",0.19431529329651
19.1549295774648,"Light",0.451242612161179
19.1549295774648,"Heavy",0.354947164589761
19.1549295774648,"Gridlock",0.193810223249062
19.3239436619718,"Light",0.451486477782424
19.3239436619718,"Heavy",0.354875738783883
19.3239436619718,"Gridlock",0.193637783433695
19.4929577464789,"Light",0.451569738869747
19.4929577464789,"Heavy",0.354851352221758
19.4929577464789,"Gridlock",0.193578908908497
19.6619718309859,"Light",0.451598165992251
19.6619718309859,"Heavy",0.354843026113026
19.6619718309859,"Gridlock",0.193558807894725
19.830985915493,"Light",0.451607871619506
19.830985915493,"Heavy",0.354840183400776
19.830985915493,"Gridlock",0.19355194497972
20,"Light",0.451611185327958
20,"Heavy",0.35483921283805
20,"Gridlock",0.193549601833994
